#https://wwwadd.zah.uni-heidelberg.de/datenbanken/fk6/fk61/fk61cp01.html
FK6 Part I
                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  01  |   02   |         03         |       04        |        05        |     06    |     07    |   08   |   09   |   10   |   11   |   12   |   13   |   14   |   15   |  16 |   17   |   18   | 19  |  20  | 21  | 22  |    23    |    24    |    25    |    26    |    27    |    28    |    29    |    30    |    31    |    32    |    33    |    34    |    35    |    36    |    37    |    38    |    39    |    40    |   41   |   42   |   43   |   44   |   45   |   46   |   47   |   48   |   49   |   50   |   51   |   52   |   53   |   54   |   55   |   56   |   57   |   58   |   59   |   60   |   61   |   62   |   63   |   64   |   65   |   66   |   67   |   68   |   69   |   70   |   71   |   72   |    73    |    74    |    75    |    76    |    77    |    78    |    79    |    80    | 81  |   82   |   83   |   84   |   85   | 86  |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| FK6  |   HIP  |        Name        |      alpha      |       delta      |     mu    |     mu    |    T   | epsil. | epsil. |    T   | epsil. | epsil. |    p   | epsil. |  K  |    v   |    m   |  K  |   K  |  K  |  K  |                                           |                                           |                                                      |                                                      |                                   |                                   |                                            |                                   |                                   |                                            |                          |                          |  Delta   |  Delta   |  Delta   |  Delta   | epsilon  | epsilon  | epsilon  | epsilon  |  K  |    F   |    F   |    F   |    F   | No. |
| No.  |   No.  |                    |      (SI)       |       (SI)       |   alpha*  |   delta   |  alpha | alpha* |   mu   | delta  | delta  |   mu   |   res  |    p   |  p  |   rad  |    V   |  m  |  bin |Delta| ae  |         Delta alpha*  [mas]  2000         |         Delta delta   [mas]  2000         |           Delta mu alpha*  [mas/yr]   2000           |           Delta mu delta   [mas/yr]   2000           |              T alpha              |       epsilon alpha*  [mas]       |        epsilon mu alpha*   [mas/yr]        |              T delta              |       epsilon delta   [mas]       |        epsilon mu delta    [mas/yr]        |         p  [mas]         |     epsilon p   [mas]    |  alpha*  |  delta   |    mu    |    mu    |  alpha*  |  delta   |    mu    |    mu    | sys |   FH   |   0H   | 0(GC)H |   0F   | of  |
|      |        |                    |      2000       |       2000       |    (SI)   |    (SI)   |  (SI)  |  (SI)  | alpha* |  (SI)  |  (SI)  | delta  |        |   res  |     |        |        |     |      | mu  |     |                                           |                                           |                                                      |                                                      |                                   |                                   |                                            |                                   |                                   |                                            |                          |                          |   sys    |   sys    |  alpha*  |  delta   |   sys    |   sys    |  alpha*  |  delta   |     |        |        |        |        | no- |
|      |        |                    |                 |                  |    2000   |    2000   |        |        |  (SI)  |        |        |  (SI)  |        |        |     |        |        |     |      |     |     |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |          |          |   sys    |   sys    |          |          |   sys    |   sys    |     |        |        |        |        | te  |
|      |        |                    |                 |                  |           |           |        |        |        |        |        |        |        |        |     |        |        |     |      |     |     |    LTP   |    STP   |    HIP   |    FK5   |    LTP   |    STP   |    HIP   |    FK5   |    LTP   |    STP   |    HIP   |    FK5   |    my0   |    LTP   |    STP   |    HIP   |    FK5   |    my0   |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   my0  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   LTP  |   STP  |   HIP  |   FK5  |   my0  |   SI   |   STP  |   HIP  |   SI   |   STP  |   HIP  |          |          |          |          |          |          |          |          |     |        |        |        |        |     |
|      |        |                    |  h  m   s       |    o  '   "      |   mas/yr  |   mas/yr  |        |   mas  | mas/yr |        |   mas  | mas/yr |   mas  |   mas  |     |  km/s  |        |     |      |     |     |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |          |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |   mas    |   mas    |  mas/yr  |  mas/yr  |   mas    |    mas   |  mas/yr  |  mas/yr  |     |        |        |        |        |     |
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
|  904 |    122 | theta Oct          |  0  1 35.702946 |  -77  3 56.60834 | -   56.82 | -  176.98 |  91.18 |   0.40 |   0.37 |  91.21 |   0.39 |   0.33 |  14.77 |   0.47 |  H  | + 23.7 |   4.78 |     |  11  |  1  |  3  | +   0.07 | +   2.37 | +   2.63 | +  49.66 | +   3.02 | +   0.27 | +   0.27 | +  61.80 | -   0.46 | +   0.27 | +   0.30 | +   0.28 | -   1.09 | +   0.05 | +   0.03 | +   0.03 | +   0.86 | -   0.32 |  84.73 |  91.19 |  91.19 |  56.87 |  12.13 |   0.40 |   0.40 |  27.86 |   0.66 |   0.45 |   0.46 |   1.08 |   0.81 |  84.27 |  91.22 |  91.22 |  45.25 |  12.41 |   0.39 |   0.39 |  31.86 |   0.60 |   0.39 |   0.40 |   1.11 |   0.69 |  14.75 |  14.77 |  14.77 |   0.47 |   0.47 |   0.47 | + 130.68 | +  26.01 | -   6.48 | -   0.78 |    14.48 |    10.64 |     0.50 |     0.33 |  1  |   0.70 |   1.53 |   1.65 |   1.35 |     |
| 1630 |    154 | 30 Psc             |  0  1 57.619825 |  - 6  0 50.65534 | +   48.08 | -   40.82 |  91.13 |   0.80 |   0.29 |  91.51 |   0.39 |   0.24 |   7.86 |   0.94 |  H  | - 11.8 |   4.37 |  2  |  33  |     |     | +  13.19 | -   8.61 | -  12.90 | +  98.94 | -   1.59 | -   3.34 | -   4.29 | -  29.71 | +   0.23 | -   0.97 | -   1.46 | +   1.48 | -   0.61 | +   0.09 | -   0.39 | -   0.50 | -   0.24 | +   0.30 |  77.85 |  91.23 |  91.23 |  49.94 |   8.62 |   0.80 |   0.80 |  15.15 |   0.33 |   0.93 |   1.09 |   0.52 |   0.37 |  79.22 |  91.50 |  91.49 |  39.84 |   9.16 |   0.40 |   0.40 |  18.93 |   0.33 |   0.42 |   0.44 |   0.58 |   0.37 |   8.58 |   8.08 |   7.86 |   0.81 |   0.91 |   0.94 | -   6.11 | -  12.93 | +   1.46 | -   0.04 |     7.00 |     5.60 |     0.24 |     0.18 |  1  |   2.45 |   1.43 |   2.71 |   3.37 |   1 |
