904;  0  1 35.702946;  -77  3 56.60834;   4.78 
1630;  0  1 57.619825;  -6  0 50.65534;   4.37 
905;  0  3 44.388192;  -17 20  9.56681;   4.55 
1001;  0  4 41.308247;  -71 26 12.80871;   5.59 
1003;  0  6 50.086034;  -23  6 27.13707;   6.19 
4;  0 10 19.246497;  +46  4 20.18089;   5.01 
6;  0 11 44.009505;  -35  7 59.21268;   5.24 
1655;  0 12 33.970040;  -88 21 46.33399;   7.22 
1004;  0 14 36.164743;  +20 12 24.12496;   4.79 
1005;  0 18 19.657833;  +36 47  6.80900;   4.51 
1006;  0 18 38.256563;  +31 31  2.00764;   5.88 
9;  0 19 25.674749;  -8 49 26.10549;   3.56 
10;  0 20  4.259830;  -64 52 29.24846;   4.23 
1007;  0 20  2.952939;  -17 42  1.55929;   6.73 
1008;  0 20 35.861837;  +8 11 24.97890;   5.38 
1009;  0 21  7.268919;  +37 58  6.97565;   5.16 
1010;  0 25 24.208166;  +1 56 22.89418;   5.77 
11;  0 25 45.071096;  -77 15 15.28279;   2.82 
1012;  0 28 12.703689;  +16 26 42.24356;   6.05 
14;  0 30 22.654590;  -23 47 15.65291;   5.17 
16;  0 32 59.991679;  +62 55 54.41765;   4.17 
1013;  0 33 41.041938;  -29 33 29.79552;   5.55 
1014;  0 34 27.832815;  -52 22 23.13003;   5.57 
17;  0 36 58.284811;  +53 53 48.87332;   3.69 
19;  0 38 33.346656;  +29 18 42.30941;   4.34 
1015;  0 41 19.555576;  -46  5  6.03224;   4.59 
1016;  0 42 37.538025;  -36  1 19.75876;   7.07 
22;  0 43 35.371451;  -17 59 11.77811;   2.04 
26;  0 44 12.097789;  -38 25 18.08473;   5.90 
1017;  0 44 57.053191;  -42 40 35.61125;   5.94 
31;  0 48 35.418054;  -74 55 24.37305;   5.09 
28;  0 48 40.944135;  +7 35  6.28445;   4.44 
30;  0 50  7.589560;  -10 38 39.58286;   5.17 
1022;  0 53  0.494348;  -1  8 39.32878;   4.78 
34;  0 55  0.312914;  -69 31 37.50877;   5.45 
1023;  0 57 50.153082;  +28 59 31.98498;   5.44 
35;  0 58 36.359415;  -29 21 26.83053;   4.30 
1024;  0 58 45.746470;  -5 52 58.13623;   6.57 
1025;  1  1 38.645029;  -16 15 56.05342;   6.47 
1027;  1  2  1.820613;  -57  0  8.60063;   6.12 
1026;  1  2 26.432956;  -31 33  7.22338;   5.50 
36;  1  2 56.608580;  +7 53 24.47897;   4.27 
1029;  1  6  7.705811;  -23 59 32.83639;   6.12 
39;  1  7 18.663785;  -61 46 31.04065;   5.36 
40;  1  8 35.391711;  -10 10 56.15290;   3.46 
906;  1  8 44.873218;  +86 15 25.52236;   4.24 
1032;  1 11 27.218851;  +21  2  4.74013;   4.66 
43;  1 11 39.636201;  +30  5 22.71908;   4.51 
41;  1 12 16.817919;  +79 40 26.26536;   5.60 
44;  1 12 45.432742;  -37 51 23.32548;   5.95 
1034;  1 17 47.956326;  +3 36 52.07966;   5.13 
45;  1 19 27.994431;  +27 15 50.60961;   4.74 
1035;  1 22 20.419354;  +45 31 43.60101;   4.87 
1036;  1 23 30.957658;  -30 56 44.22087;   5.84 
47;  1 24  1.403544;  -8 10 59.77434;   3.60 
1037;  1 24 48.680670;  -2 50 54.92233;   6.17 
1038;  1 25  5.306992;  -64 22 10.12101;   5.92 
48;  1 25 48.951603;  +60 14  7.01873;   2.66 
1039;  1 26 41.678686;  +19 14 25.52093;   5.50 
1041;  1 26 51.564701;  -13  3 23.44234;   5.51 
1044;  1 31 15.104248;  -49  4 21.73141;   3.93 
1045;  1 36 47.843071;  +41 24 19.64804;   4.10 
52;  1 37 59.557526;  +48 37 41.56587;   3.59 
56;  1 41 25.893963;  +5 29 15.40289;   4.45 
58;  1 42  2.993916;  -36 49 56.29736;   5.70 
1047;  1 42  3.489750;  +35 14 44.54403;   5.63 
55;  1 42 20.526496;  +68  2 34.88685;   5.57 
1049;  1 42 43.510991;  -3 41 24.70889;   4.98 
59;  1 44  4.083779;  -15 56 14.91829;   3.49 
60;  1 45 23.632260;  +9  9 27.92472;   4.26 
1050;  1 48 10.936228;  +16 57 19.96995;   5.86 
67;  1 53 38.742281;  -46 18  9.59871;   4.39 
63;  1 54 23.726204;  +63 40 12.36259;   3.35 
69;  1 54 56.131221;  -67 38 50.29247;   4.68 
71;  2  0  0.308719;  -21  4 40.18856;   3.99 
1054;  2  2 18.108244;  +54 29 15.15167;   4.99 
70;  2  3 26.106286;  +72 25 16.65871;   3.95 
1055;  2  4 29.437107;  -29 17 48.54999;   4.68 
74;  2  7 10.407240;  +23 27 44.71195;   2.01 
1056;  2 10 37.596869;  +19 30  1.21206;   5.68 
78;  2 12 54.470128;  -30 43 25.77484;   5.27 
1057;  2 13  3.304216;  +15 16 47.49469;   5.72 
1060;  2 14 31.946109;  -41 10  0.35228;   5.91 
82;  2 16 30.585299;  -51 30 43.79364;   3.56 
1635;  2 16 45.568808;  +83 33 41.09369;   6.45 
80;  2 16 59.043143;  -6 25 19.61830;   5.51 
79;  2 17 18.867813;  +33 50 49.89926;   4.03 
1062;  2 17 19.877741;  -35 58 58.65557;   6.70 
81;  2 18  7.538545;  +19 54  4.18088;   5.58 
1657;  2 18 34.452518;  -88  8 44.60289;   8.25 
1063;  2 19 16.796424;  +47 22 47.89695;   5.31 
1656;  2 21 40.670766;  -85 43  4.61958;   7.82 
1065;  2 21 44.942338;  -68 39 33.90621;   4.08 
1064;  2 22  4.982753;  -17 39 43.80593;   5.89 
1067;  2 22 52.306919;  -73 38 44.85117;   5.99 
84;  2 24 53.910747;  -60 18 43.01227;   5.36 
1066;  2 25 57.005351;  -12 17 25.71669;   4.88 
86;  2 26 59.121971;  -47 42 13.82569;   4.24 
1068;  2 28  9.980413;  +29 40  9.58386;   5.29 
1069;  2 30 54.398149;  +17 42 13.88074;   6.21 
1071;  2 32  5.233284;  -15 14 40.66977;   4.74 
1070;  2 32  6.169246;  +36  8 50.14988;   5.15 
88;  2 33  7.026477;  -34 38 59.88083;   5.91 
1074;  2 36  0.048045;  -7 49 53.74704;   5.53 
87;  2 38  2.032120;  +72 49  5.70766;   5.17 
91;  2 39 28.956395;  +0 19 42.63178;   4.08 
95;  2 39 35.360468;  -68 16  1.01277;   4.12 
1075;  2 40 40.034488;  -39 51 19.35734;   4.11 
1077;  2 44  5.160729;  +44 17 49.34069;   5.43 
97;  2 44  7.348771;  -13 51 31.35543;   4.24 
1079;  2 51 29.586046;  +15  4 55.44565;   5.52 
104;  2 56 25.649869;  -8 53 53.31188;   3.89 
1080;  2 56 37.423957;  -3 42 44.35901;   5.16 
1081;  2 58  5.221326;  +20 40  7.44492;   5.80 
1082;  2 59  3.676577;  +35 10 59.26625;   4.94 
1083;  2 59 42.899264;  +8 54 26.51606;   4.71 
1084;  3  2  2.508455;  -18 12 27.89837;   7.54 
107;  3  2 16.773198;  +4  5 23.06212;   2.54 
1085;  3  2 23.499540;  -23 37 28.09697;   4.08 
1086;  3  2 55.862794;  -46 58 30.12801;   5.81 
110;  3  3 36.819337;  -59 44 15.99438;   5.12 
109;  3  5 10.593879;  +38 50 24.99529;   3.32 
1087;  3  7 18.574347;  -13 45 42.42489;   6.97 
112;  3  9  4.020035;  +49 36 47.80100;   4.05 
1088;  3  9 36.741556;  +29  4 37.48909;   5.74 
114;  3 11 37.764752;  +19 43 36.01954;   4.35 
118;  3 12 33.160125;  -57 19 17.57524;   5.71 
1089;  3 14 54.098286;  +21  2 40.01924;   4.87 
1095;  3 15 57.661559;  -77 23 18.43327;   5.51 
1092;  3 16 55.070373;  -31 21  7.88440;   7.15 
1093;  3 19 21.696983;  +3 22 12.71368;   4.84 
119;  3 19 55.650638;  -43  4 11.22121;   4.26 
120;  3 24 19.370390;  +49 51 40.25402;   1.79 
1096;  3 24 40.556906;  +64 35  9.59165;   5.13 
124;  3 30 34.485189;  +47 59 42.78516;   4.36 
1097;  3 30 37.058530;  -5  4 30.53065;   4.74 
128;  3 32 34.802741;  -50 22 43.12441;   5.67 
1098;  3 32 40.015744;  +35 27 42.21258;   5.91 
1101;  3 36 52.383780;  +0 24  5.98366;   4.29 
1102;  3 38 47.671614;  -27 56 35.00500;   6.01 
133;  3 42 14.902640;  -31 56 18.10036;   4.99 
135;  3 43 14.901013;  -9 45 48.19947;   3.52 
137;  3 44 30.510040;  -1  9 47.13095;   5.24 
140;  3 46 50.887575;  -23 14 59.00838;   4.22 
146;  3 47 14.339894;  -74 14 20.26611;   3.26 
143;  3 49 27.245028;  -36 12  0.88060;   4.17 
1107;  3 53  8.367317;  -6 38  1.49415;   6.56 
1106;  3 53 10.046133;  +17 19 37.50447;   5.97 
1105;  3 53 43.284889;  +57 58 30.50445;   5.80 
1109;  3 58 42.901896;  -57  6  8.49920;   6.05 
1110;  3 58 44.749581;  -61 24  0.66597;   4.56 
148;  3 58 57.901414;  +35 47 27.71633;   3.98 
1114;  4  0 43.681389;  -71 10  0.47250;   6.60 
1111;  4  1 32.049868;  -1 32 58.79290;   5.28 
151;  4  3  9.380012;  +5 59 21.48790;   3.91 
1112;  4  4 41.715424;  +22  4 54.93855;   4.36 
153;  4  5 37.436103;  -27 39  6.51084;   5.59 
1113;  4  6 35.042818;  +50 21  4.54498;   4.25 
1115;  4  9  9.965970;  +19 36 33.18214;   5.51 
1116;  4 10 49.860476;  +26 28 51.43361;   5.39 
154;  4 11 51.939213;  -6 50 15.29076;   4.04 
155;  4 14  0.114539;  -42 17 39.72619;   3.85 
1118;  4 15 32.057264;  +8 53 32.47472;   4.27 
157;  4 16  1.585700;  -51 29 11.93497;   4.26 
166;  4 17 59.269159;  -80 12 50.51634;   5.67 
158;  4 20 24.638276;  +34 34  0.21958;   4.93 
161;  4 20 39.013012;  -20 38 22.64194;   5.38 
163;  4 21 53.327014;  -63 23 11.00882;   5.24 
1120;  4 23 40.851786;  -3 44 43.69329;   5.17 
1121;  4 24  2.214879;  -34  1  0.67695;   3.97 
1123;  4 28 32.120746;  +1 22 50.97308;   5.53 
164;  4 28 37.000006;  +19 10 49.55874;   3.53 
1122;  4 29 51.937661;  +69 22 41.92505;   6.63 
167;  4 30 50.099557;  -44 57 13.50598;   5.07 
1124;  4 33 24.902996;  +43  3 50.01144;   6.09 
170;  4 35 33.038632;  -30 33 44.42880;   3.81 
1127;  4 40  6.801342;  -24 28 56.52686;   5.56 
1130;  4 42  3.480428;  -37  8 39.45333;   5.04 
177;  4 43  3.963328;  -70 55 51.69815;   5.53 
1131;  4 44  5.320313;  -8 30 12.86231;   5.78 
1132;  4 46 25.749497;  -28  5 14.80414;   6.18 
173;  4 48 50.352653;  +75 56 28.38546;   5.96 
1134;  4 49 50.411349;  +6 57 40.59610;   3.19 
1133;  4 49 54.638584;  +37 29 17.79622;   4.89 
1135;  4 51 22.462959;  +18 50 23.49354;   5.08 
1138;  4 55 11.201839;  -74 56 12.67211;   5.47 
181;  4 56 59.618904;  +33  9 57.93146;   2.69 
917;  4 58 50.964052;  -82 28 13.84700;   5.84 
1139;  5  2 22.804827;  -31 46 16.80044;   5.92 
184;  5  3  5.746446;  +21 35 23.86485;   4.62 
182;  5  3 25.089921;  +60 26 32.08287;   4.03 
1140;  5  4 34.148755;  +15 24 14.76887;   4.65 
187;  5  4 58.013907;  -49 34 40.21186;   5.05 
186;  5  5 27.666999;  -22 22 15.72867;   3.19 
189;  5  5 30.656034;  -57 28 21.72927;   4.71 
185;  5  6 30.892447;  +41 14  4.10891;   3.18 
1143;  5  7 25.926690;  -44 49 18.07882;   6.91 
188;  5  7 50.979551;  -5  5 11.24939;   2.78 
190;  5  9  8.783774;  -8 45 14.70229;   4.25 
1144;  5 12 55.900655;  -16 12 19.72412;   3.29 
196;  5 13 45.455224;  -67 11  6.91831;   4.81 
197;  5 17 29.088713;  -34 53 42.73871;   4.81 
1145;  5 19  8.474884;  +40  5 56.58526;   4.69 
199;  5 19 22.135134;  -50 36 21.48258;   5.44 
198;  5 19 23.684820;  -27 22  7.98777;   5.98 
1146;  5 19 34.525131;  -13 10 36.43286;   4.29 
201;  5 25  7.863395;  +6 20 58.93813;   1.64 
203;  5 30 10.201735;  +63  4  1.99152;   5.43 
1637;  5 31 48.140969;  +85 56 18.69982;   6.50 
1150;  5 32 33.800216;  +57 13 15.85334;   6.44 
210;  5 36 12.813388;  -1 12  6.91547;   1.69 
1153;  5 38  6.903979;  -27 12 38.69892;   6.53 
205;  5 39 43.705463;  +75  2 37.94162;   6.19 
1660;  5 39 59.153923;  -85 54 51.57885;   6.77 
1154;  5 44 46.378048;  -65 44  7.88188;   4.34 
219;  5 46 57.340684;  -14 49 19.01527;   3.55 
218;  5 47 26.195551;  +17 43 44.91009;   5.47 
220;  5 47 45.388870;  -9 40 10.57773;   2.07 
1155;  5 48 34.940411;  -4  5 40.72319;   5.97 
1156;  5 49 49.662386;  -56  9 59.99347;   4.50 
1159;  5 50 53.220737;  -52  6 31.93775;   5.16 
223;  5 50 57.592933;  -35 46  5.91230;   3.12 
222;  5 51 19.295453;  -20 52 44.71733;   3.76 
1157;  5 54 50.775535;  +55 42 25.00508;   4.96 
226;  5 56 24.293382;  -14 10  3.71240;   3.71 
229;  5 59  8.805604;  -42 48 54.48067;   3.96 
1162;  6  0 14.419841;  +33  8 12.95957;   6.84 
1638;  6  1 20.273408;  +85 10 55.60248;   6.17 
230;  6  4 58.359926;  +4  9 31.20993;   5.63 
1164;  6  6  5.538960;  -29 45 31.04528;   5.79 
1166;  6  8 44.261917;  -68 50 36.27361;   5.06 
239;  6 10 14.473258;  -74 45 10.96028;   5.08 
233;  6 12 51.062180;  +65 43  6.31610;   5.36 
1168;  6 15 22.688201;  +29 29 53.07900;   4.32 
238;  6 16 33.135317;  -35  8 25.86817;   4.37 
